time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,SkinTone,Speed,Depth,Experiment
2025-10-21T20:55:38.836Z,3278,6004,22953,4468,8202,25431,4185,5063,17706,6400,10760,30073,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.876Z,3281,5999,22941,4475,8203,25438,4196,5068,17761,6472,10874,30277,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.917Z,3291,6010,22970,4476,8201,25450,4187,5064,17702,6376,10705,29972,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.957Z,3312,6039,23055,4467,8191,25462,4143,5033,17487,6053,10157,28977,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:38.997Z,3340,6080,23175,4452,8175,25468,4072,4971,17168,5582,9358,27552,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.037Z,3357,6105,23244,4443,8162,25465,4023,4924,16977,5302,8879,26741,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.077Z,3352,6095,23204,4450,8165,25459,4037,4933,17063,5441,9109,27200,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.117Z,3338,6069,23120,4467,8181,25458,4088,4976,17287,5779,9682,28234,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.157Z,3327,6050,23070,4475,8194,25463,4125,5008,17442,5997,10056,28900,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.197Z,3317,6037,23055,4469,8194,25467,4132,5024,17497,6050,10157,29093,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.237Z,3308,6020,23032,4460,8187,25461,4132,5037,17537,6096,10242,29262,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.277Z,3303,5998,22985,4462,8182,25447,4140,5055,17620,6231,10472,29659,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.317Z,3301,5987,22949,4472,8184,25439,4148,5067,17696,6373,10709,30045,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.357Z,3305,5993,22960,4480,8187,25448,4148,5062,17687,6376,10710,30020,Fair,Fast,2.5mm,Experiment_1
