time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,SkinTone,Speed,Depth,Experiment
2025-10-21T20:50:06.118Z,3293,5987,22895,4498,8214,25461,4192,5108,17919,6642,11146,30695,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.158Z,3289,5990,22893,4497,8216,25466,4187,5120,17949,6646,11161,30728,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.198Z,3288,5999,22894,4495,8221,25467,4188,5122,17952,6620,11124,30668,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.238Z,3295,6012,22915,4493,8224,25466,4191,5106,17897,6527,10966,30377,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.278Z,3316,6038,23001,4485,8219,25476,4170,5056,17701,6224,10458,29453,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.318Z,3347,6081,23163,4465,8201,25501,4108,4968,17337,5675,9539,27795,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.358Z,3375,6126,23320,4446,8181,25524,4039,4889,16974,5147,8655,26202,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.398Z,3377,6137,23356,4444,8173,25528,4015,4880,16878,5022,8450,25845,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.438Z,3351,6102,23260,4457,8177,25517,4050,4943,17092,5348,9013,26877,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.478Z,3321,6050,23130,4470,8182,25508,4108,5023,17399,5810,9800,28298,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.518Z,3307,6018,23053,4475,8186,25504,4146,5073,17595,6095,10283,29161,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.558Z,3308,6010,23037,4477,8187,25504,4154,5084,17644,6132,10354,29312,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.598Z,3311,6008,23035,4480,8186,25504,4145,5072,17632,6077,10267,29229,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.638Z,3306,6007,23010,4481,8196,25501,4146,5068,17668,6134,10345,29433,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.678Z,3297,6018,22968,4483,8218,25492,4170,5089,17774,6327,10640,29942,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.718Z,3289,6029,22934,4486,8233,25484,4198,5118,17885,6513,10942,30402,Fair,Medium,2.5mm,Experiment_2
2025-10-21T20:50:06.758Z,3284,6024,22917,4486,8230,25480,4210,5133,17949,6601,11092,30619,Fair,Medium,2.5mm,Experiment_2
