ts,user_id,device_id,source,x,y,z,time_s
2026-03-13 16:59:41.295000+00:00,0,0,0,-3561,1325,-1647,22.442
2026-03-13 16:59:41.334000+00:00,0,0,0,-3559,1349,-1638,22.481
2026-03-13 16:59:41.372000+00:00,0,0,0,-3561,1346,-1631,22.519
2026-03-13 16:59:41.411000+00:00,0,0,0,-3553,1349,-1644,22.558
2026-03-13 16:59:41.450000+00:00,0,0,0,-3561,1338,-1648,22.597
2026-03-13 16:59:41.489000+00:00,0,0,0,-3554,1324,-1664,22.636
2026-03-13 16:59:41.527000+00:00,0,0,0,-3557,1315,-1661,22.674
2026-03-13 16:59:41.566000+00:00,0,0,0,-3559,1314,-1642,22.713
2026-03-13 16:59:41.605000+00:00,0,0,0,-3560,1321,-1640,22.752
2026-03-13 16:59:41.643000+00:00,0,0,0,-3556,1336,-1644,22.79
2026-03-13 16:59:41.682000+00:00,0,0,0,-3558,1352,-1656,22.829
2026-03-13 16:59:41.721000+00:00,0,0,0,-3553,1339,-1653,22.868
2026-03-13 16:59:41.759000+00:00,0,0,0,-3550,1340,-1649,22.906
2026-03-13 16:59:41.798000+00:00,0,0,0,-3558,1339,-1644,22.945
2026-03-13 16:59:41.837000+00:00,0,0,0,-3554,1333,-1648,22.984
2026-03-13 16:59:41.875000+00:00,0,0,0,-3556,1337,-1657,23.022
2026-03-13 16:59:41.920000+00:00,0,0,0,-3556,1328,-1654,23.067
2026-03-13 16:59:41.953000+00:00,0,0,0,-3550,1335,-1653,23.1
2026-03-13 16:59:41.992000+00:00,0,0,0,-3556,1338,-1648,23.139
2026-03-13 16:59:42.030000+00:00,0,0,0,-3551,1330,-1649,23.177
2026-03-13 16:59:42.069000+00:00,0,0,0,-3557,1341,-1651,23.216
2026-03-13 16:59:42.108000+00:00,0,0,0,-3546,1352,-1650,23.255
2026-03-13 16:59:42.146000+00:00,0,0,0,-3553,1350,-1643,23.293
2026-03-13 16:59:42.185000+00:00,0,0,0,-3548,1346,-1653,23.332
2026-03-13 16:59:42.224000+00:00,0,0,0,-3558,1343,-1653,23.371
2026-03-13 16:59:42.262000+00:00,0,0,0,-3557,1334,-1665,23.409
2026-03-13 16:59:42.301000+00:00,0,0,0,-3560,1333,-1660,23.448
2026-03-13 16:59:42.340000+00:00,0,0,0,-3546,1319,-1647,23.487
2026-03-13 16:59:42.378000+00:00,0,0,0,-3551,1307,-1660,23.525
2026-03-13 16:59:42.417000+00:00,0,0,0,-3553,1313,-1673,23.564
2026-03-13 16:59:42.456000+00:00,0,0,0,-3548,1336,-1685,23.603
2026-03-13 16:59:42.495000+00:00,0,0,0,-3550,1341,-1663,23.642
2026-03-13 16:59:42.533000+00:00,0,0,0,-3557,1339,-1645,23.68
2026-03-13 16:59:42.572000+00:00,0,0,0,-3555,1332,-1646,23.719
2026-03-13 16:59:42.611000+00:00,0,0,0,-3550,1326,-1664,23.758
2026-03-13 16:59:42.649000+00:00,0,0,0,-3559,1316,-1675,23.796
2026-03-13 16:59:42.688000+00:00,0,0,0,-3553,1313,-1665,23.835
